IndicatorCode,IndicatorName,Category,Engine,FunctionName,RequiredInputs,ParameterSchema,Description,IsActive,CreatedAt,UpdatedAt
RSI,Relative Strength Index,MOMENTUM,PANDAS_TA_CLASSIC,rsi,"[""Close""]",,"Đo xung lực tăng giảm của giá, dao động 0-100; thường dùng để nhận diện quá mua/quá bán và phân kỳ.",true,2026-08-25 21:07:23.617482,2026-08-25 21:29:32.478844
BB,Bollinger Bands,VOLATILITY,PANDAS_TA_CLASSIC,bbands,"[""Close""]",,"Dải biến động quanh trung bình động; dùng để đo co giãn biến động, vùng giá tương đối cao/thấp và squeeze/breakout.",true,2026-08-25 21:07:23.617482,2026-08-25 21:29:32.478844
MFI,Money Flow Index,MOMENTUM,PANDAS_TA_CLASSIC,mfi,"[""High"", ""Low"", ""Close"", ""Volume""]",,"RSI có trọng số volume; đo áp lực tiền vào/ra, dao động 0-100.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
PSAR,Parabolic SAR,TREND,PANDAS_TA_CLASSIC,psar,"[""High"", ""Low"", ""Close""]",,"Chỉ báo bám xu hướng và trailing stop; điểm SAR nằm dưới giá trong uptrend, trên giá trong downtrend.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
CMO,Chande Momentum Oscillator,MOMENTUM,PANDAS_TA_CLASSIC,cmo,"[""Close""]",,"Đo momentum cân bằng giữa tổng gain và tổng loss, dao động -100 đến +100.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
WR,Williams %R,MOMENTUM,PANDAS_TA_CLASSIC,willr,"[""High"", ""Low"", ""Close""]",,Đo vị trí giá đóng cửa so với biên high-low n kỳ; dao động -100 đến 0.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
MACD,MACD,MOMENTUM,PANDAS_TA_CLASSIC,macd,"[""Close""]",,"Đo chênh lệch giữa EMA nhanh và EMA chậm; gồm MACD line, signal line, histogram.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
OBV,On-Balance Volume,VOLUME,PANDAS_TA_CLASSIC,obv,"[""Close"", ""Volume""]",,Chỉ báo volume tích lũy để xác nhận dòng tiền theo chiều giá.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
EMA,Exponential Moving Average,TREND,PANDAS_TA_CLASSIC,ema,"[""Close""]",,Trung bình động phản ứng nhanh hơn SMA do đặt trọng số lớn hơn cho dữ liệu mới.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
VWAP,Volume Weighted Average Price,VOLUME,PANDAS_TA_CLASSIC,vwap,"[""High"", ""Low"", ""Close"", ""Volume""]",,Giá trung bình có trọng số volume trong phiên/khoảng thời gian; benchmark giá giao dịch tổ chức.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
ATR,Average True Range,VOLATILITY,PANDAS_TA_CLASSIC,atr,"[""High"", ""Low"", ""Close""]",,"Đo biên độ dao động thực trung bình, không cho biết hướng xu hướng.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
PPO,Percentage Price Oscillator,MOMENTUM,PANDAS_TA_CLASSIC,ppo,"[""Close""]",,"MACD theo phần trăm, giúp so sánh momentum giữa tài sản có mức giá khác nhau.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
